breed_id,breed_name,breed_image,breed_origin,breed_male_weight_min,breed_make_weight_max,breed_female_weight_min,breed_female_weight_max,breed_male_height_min,breed_male_height_max,breed_female_height_min,breed_female_height_max,breed_life_expectancy_min,breed_life_expectancy_max,breed_litter_size_min,breed_litter_size_max,breed_highlight,breed_appearance,breed_history,breed_health_care,breed_living_condition,breed_exercise,breed_grooming,breed_pros,breed_cons
,Chihuahua,chihuahua.jpg,Mexico,1.8,2.7,1.8,2.7,15,25,15,25,10,18,1,3," The Chihuahua is a tiny toy-sized dog. The height of the dog is less than its length. The head is well-rounded, apple-shaped, and the muzzle is short and pointed with a well-defined stop. ","An elegant, observant, swift-moving, compact little dog with saucy expression, and with terrier-like qualities of temperament. ","Most historical references of the Chihuahua can be termed bewildering and obscure. A number of theories prevail regarding the origin of the breed. Both folklore and archaeological findings hint towards the fact that the breed originated in Mexico. Arguably, the most relevant theory is that the Chihuahuas descended from the Techichi, a companion dog favored by the Toltec civilization in Mexico.","Chihuahuas are prone to rheumatism, slipped stifle, colds and gum problems, corneal dryness and secondary glaucoma, due to their protruding eyes. They suffer from the tendency of gaining weight effortlessly. Exercise caution with toxic products, such as chocolate or fertilizers. This is a very small breed and it will not take much to poison the dogs of this breed. Chihuahuas are often born via a cesarean section because puppies are born with relatively large heads. They are susceptible to fractures and other mishaps in puppyhood. Some Chihuahuas have a molera, an unclosed section of the skull which can remain open forever. This makes the dog prone to injury. It has a tendency to wheeze and snore because of its small, short muzzles. This dog breed is vulnerable to stress, caused by the owners’ tendency to treat them like little babies. ",These little dogs are cut out for an apartment life. The Chihuahua adores warm weather and coldness repels it. They need space just like any other dog. Their small size does not imply that they can be kept in a small and confined space.,"Although it is tempting to travel outside very often with these dainty creatures, in actuality, such little dogs only need one daily walk. Proper and sufficient play can address most of their exercise needs, however, as is the case with all the breeds, play will not fulfill their primal instinct to walk. Dogs that are left out of daily walks are more likely to display a wide variety of behavior problems, as well as neurotic issues. They will also savor a good romp in a safe open area off lead, such as a large, fenced-in yard.","The smooth, short haired coat should be gently brushed occasionally or simply wiped over with a damp cloth. The long coat should be brushed daily with a soft bristle brush. Bathe both types about once per month, while adopting precautionary measures to preclude water from penetrating the ears. Check the ears regularly and keep the nails trimmed. This breed is an average shedder",Chihuahuas are adorable. Chihuahuas are suitable pets for apartment living. Chihuahuas are proficient watch dogs. Chihuahuas can be trained to use a litterbox indoors.Chihuahuas are straightforward to groom.,Chihuahuas can be fragile. Some Chihuahuas are not recommended for young children.Chihuahuas are averse to freezing environments.Some Chihuahuas are not family dogs.Some Chihuahuas may tend to bark a lot.
,Pomeranian,pomeranian.jpg,Poland,1.9,3.5,2,2.5,18,30,18,30,12,16,1.9,2.7,"Compact, industrious family companion, and one of the most competent dogs in terms of acrobatic nature and obedience.","Black, Grey-shaded, Brown, Tan, Orange,","The Pomeranian is believed to have descended from the German Spitz. The breed is considered to have derived its name from the area, known as Pomerania, which is located in northern Poland and Germany along the Baltic Sea.","The dog breed’s divers health concerns may include collapsing trachea, hypothyroidism, elbow luxation, shoulder luxation, patellar luxation, hydrocephalus, entropion, cataracts, generalized progressive retinal atrophy, cryptorchidism and patent ductus arteriosus.",The Pomeranian can lead a smooth apartment life. These dogs are riddled with energy indoors and a yard is needless for them. They do not overheat in sweltering summers.,"Walking, Fetching, Frisbee, colorful plastic balls can be used to make dog play.","Brush at least twice per week to remove loose hair, prevent tangles and distribute the natural oils of the skin and hair, keeping the coat glittering and healthy.","Pomeranians are endearing, and are known as a “big personality in a little dog”. Pomeranians are small and easily meet size limitations for airplanes and hotels","Pomeranians are fragile and can succumb to injuries if they jump off small walls or if they’re stepped or trampled onPomeranians can be wounded by other animals, including some birds They shed profusely and require daily grooming Like many other small dog breeds, pomeranians are predisposed toward barking Pomeranians should not be kept in households with small children who may handle them recklessly"
,Pug,pug.jpg,China,5.9,8,5.9,8,30,36,25,30,12,15,1,3,"Small, sturdy, square, thickset dog. The head is round and large with a short, blunt, square-shaped muzzle. The moles on the cheeks are usually regarded as beauty spots. The teeth converge in a slight undershot bite.","The large and protuberant eyes are dark in color. The small, thin ears are either rose or button shaped. The face is marked by large and deep wrinkles. The high-set tail is curled over the back and a double curl is preferred in the show ring.","The breed is heralded as one of the oldest canine breeds today. There are divergent theories, as regards the origin of the dog breed. But, most people are of the opinion that the breed is a descendant of the short-haired Pekingese","Pugs are easily susceptible to cold; hot and cold weather conditions repulse them. They are prone to allergies, and the short muzzle contributes to chronic breathing constraints, thereby making the Pug wheeze and snore at regular intervals. (Pugs suffer from poor ventilation.) Furthermore, pugs are afflicted with skin problems, mast cell tumors, Pug Dog Encephalitis (PDE), an inflammation of the brain that affects adolescent Pugs usually between the ages of 2 and 3","The Pug is ordinarily well-suited to an apartment life. It stays idle and lackadaisical indoors, and a yard is not essential for them. A Pug usually fails to stand up to hot or cold weather in most of the scenarios, and should be kept indoors at a reasonable temperature","Pugs are brawny dogs with short, straight legs. They need to be taken on daily walks. While out on the walk the dog must be made to heel beside or behind the person leading the way forward,(this is essential as loyalty towards humans makes dogs set great store by them).Vigorous games keep them in good shape and regular exercise positively moulds their health. However, a surfeit of physical activities can backfire on their health, as they can then show symptoms of wheezing.","The smooth, shorthaired coat is easy to groom. Brush and comb with a firm bristle brush and shampoo only when necessary. Dry thoroughly after a bath so the dog does not get chilled. The creases on the face must be cleaned regularly. This breed is a seasonally heavy shedder"," Pugs set a precedent as family pets because they get along well with other animals, like cats, other dogs, and even small children. Pugs are light-hearted and frolicsome. With their meaningful faces and snorty ways, they’re guaranteed to make you smile. If not, you probably need to pay a visit to a therapist.","Pugs tend to shed to an appreciable extent. Because of this nature of theirs, people unable to stand the sight are ill-advised to keep a pug as a pet. Dog hair and pugs go hand in hand. Pugs are voracious eaters. Hence, if a person is not too fond of bug-eyed manipulation, he/she should cast aside the decision of having a pug."
,Poodle,poodle.jpg,France,7,8,7,8,28,30,28,30,10,15,1,10,"The skull is moderately rounded with a slight but definite stop. It has a long, straight muzzle. The dark, oval-shaped eyes are set somewhat far apart and are black or brown in color. The ears hang close to the head, and are long as well as flat. Both the front and back legs are in proportion with the size of the dog. The topline is even. The tail is set and carried high. It is sometimes docked to half its length or less to give the dog a more compact and balanced look.","The poodle is an industrious, wise and graceful dog, squarely built, and well-proportioned. To ensure the desirable squarely built appearance, the length of body measured from the breastbone to the point of the rump approximates the height from the highest point of the shoulders to the ground. The eyes, which are very dark in color and oval in shape, are a thorough reflection of its wakeful and astute nature. The ears should fold over close to the head, set at, or slightly below, eye level. The coat should be of naturally curly texture, dense throughout, although most AKC-registered show dogs have a lion-cut or other, similarly shaven look. The sizes of the official AKC-recognized Poodle breeds are determined by height, not by weight.","Long before the Poodle was brought to England, the European mainland was well acquainted with the breed. Drawings by German artist Albrecht Dürer established the popular image of the breed in the 15th and 16th centuries. The paintings of the eminent Spanish artist Fransisco Goya are a testimony to the fact that it was the cardinal pet dog of the late 18th century in Spain. During the regime of Louis XVI, people in the neighboring France pampered and fancied toy poodles a lot.","They are vulnerable to cataracts, progressive retinal atrophy (PRA), which may cause blindness, IMHA (Immune Mediated Hemolytic Anemia), heart problems, diabetes, epilepsy, runny eyes, ear infections and skin allergies. Brown Poodles are known for become prematurely","The Miniature Poodle is very much equipped to lead a settled apartment life. It will always be in a pleasant mind frame indoors, provided that enough exercise is given to it. A yard is non-essential for a poodle.","Miniature Poodles need a daily walk. While out on the walk make sure the dog heels beside or behind the person holding the lead, never in front, (this is essential as loyalty towards humans makes dogs set great store by them). As with all breeds, play will not fulfill their primal instinct to walk. Dogs that do not get to go on daily walks are more likely to build up behavior problems. They will also enjoy a good romp in a safe, open area off lead, such as a large, fenced-in yard. ","An enormous amount of grooming is needed if the dog is to be shown. Poodles must be bathed regularly and clipped every six to eight weeks. Clean and check the ears frequently for wax or mites or infection and pull out hairs growing inside the ear canal. The teeth need regular scaling. Since the coat does not shed, it needs to be clipped.","There are a myriad of positive characteristics that make the poodle a pet lover’s choice. This dog is tremendously witty and persevering. Therefore, training of any kind would be readily accepted and mastered in a very short amount of time. The dog is the best choice for people set back by certain health issues as it is devoid of shedding.The sheer number of colors in which a Poodle is available makes it one of the most prized dogs. For instance, the Poodle comes in solid colors of white, gray, black, brown, apricot, cream, silver, and café-au-lait.","Grooming is not that essential, but since haircuts would be required every five to six weeks, be ready to bear the additional expenses. Exercising is a prerequisite for a poodle. Hence, if you lack a fenced backyard or someone in the family willing to provide daily walks and playtime, it is better to turn a blind eye to the Poodle. Nonetheless, if the activity needs of this breed could be met in a different manner, this would not be much of a headache."
,Labrador,labrador.jpg,United Kingdom,29,36,25,32,56,58,54,56,12,13,5,10,"Labrador is one of America’s most popular breeds. The lab has the  nature of being one of the most sweet- natured breeds ,  and it is well deserved. Labradors are also used as disability assistance breeds in various countries. They are trained to aid the blind. Sporting and hunting are also various fields where Labrador rules. They are one of the best search and rescue dogs.","labradors have a broad head and a wide muzzle, medium-sized, pendant ears and friendly eyes. The chest extends to the elbows and the forelegs should be straight, of solid bone, but not be too heavy. Show dogs need to have an athletic body that looks sturdy, but agile. The back is strong and topline is leve. It is medium length and thick at the base, covered in short, thick hair and tapers toward the tip. Labs, excellent swimmers, have webbed feet which come in handy while retrieving water fowl for hunters. The short, dense coat comes in three colors: black, chocolate or yellow.","The Labrador’s ancestors date back to 17th century Canada. During the 18th century, the Canadian water dogs differentiated into what we now know as the Newfoundland, the Landseer, the Flat-Coated Retriever, the Chesapeake Bay Retriever and the Labrador . Labs served as companions and helpers to local fishermen beginning in the 1700s. They originally were a breed of large working dogs from Swiss Alps to north Italy and Switzerland, and were originally bred for rescue. Labs are currently used for drug and explosive detection for search and rescue and also to provide assistance to the handicapped","Labrador are generally healthy, but like all breeds, they're prone to certain health conditions. Not all Labs will get any or all of these diseases, but it's important to be aware of them if you're considering this breed.Hip Dysplasia is a heritable condition in which the thighbone doesn't fit snugly into the hip joint. Elbow Dysplasia is a heritable condition common to large-breed dogs. It's thought to be caused by different growth rates of the three bones. Osteochondrosis Dissecans is an orthopedic condition, caused by improper growth of cartilage in the joints, usually occurs in the elbows, but it has been seen in the shoulders as well. Cataract as in humans, canine cataracts are characterized by cloudy spots on the eye lens that can grow over time.","Labrador are very adaptable dogs, and will fit into all sort of living environments. However, they are energetic, particularly when younger, and it is therefore better for them to have some space and a garden or back yard in which to get some exercise. ","Because Labrador  are energetic dogs, they do need regular exercise. This will help to keep them healthy and happy as well as help to control their weight. These dogs love to play and can enjoy getting a great deal of exercise through play and interactive activity with their owners and family. Their love for company and people means that interactive play such as Frisbee, fetch etc. can provide them with mental stimulation as well as much-needed exercise.","Labradors shed heavily throughout the year. Regular brushing can help keep fly aways under control.. Baths are required quite often. Labs tend to smell “like a dog” and enjoy getting down and dirty when outdoors. Labs, however, enjoy water and are not a problem to bathe at home.Check the ears on a regular basis for signs of wax buildup. Teeth should be brushed on a weekly basis. Trim nails monthly if the dog does not wear the toenails down naturally outdoors.","They are very energetic and ""puppy-like"" well into their senior years.They are very smart and therefore very trainable (they work in search and rescue, fire, police work, hunting, fishing, and a variety of dog competetions).They are great swimmers. Their hair is even water resistent so they dry really fast. They are very affectionate.They are beautiful.","They are very energetic and ""puppy-like"" which can, at times, be trying. You shouldn't get one if you don't have time to give them strenuous exercise every week and walk and play fetch with them dailyThey are very smart. This can lead to them being very destructive and tricky. They will beg for food when they've already been fed or find a way to open pantry doors.They are great swimmers. If you don't have a place to take your Lab to swim pretty often, it's kind of cruel to get one."
,Siberian Huskey,siberian_huskey.jpg,Russia,20,27,16,23,53,61,51,56,12,14,4,8,"Siberian Husky is a medium-to-large-size dog breed marked by resilience and fortitude. Its affectionate and happy-go-lucky attitude makes it a highly sought-after dog amongst the pet lover fraternity. Although they are extremely vibrant when young, in the subsequent stages of their lives, they become relaxed, pliant dogs that are loyal to their families, well-mannered with children and genial towards strangers. They are regarded as the best watchdogs as they’re quite social and seldom bark.","Siberian Huskies are powerful, compact, toiling sled dogs. The medium-sized head is in proportion to the body, with a muzzle that is equal in length to the skull, with a well-defined stop. The color of the nose depends upon the color of the dog's coat. It is black in gray, tan or black dogs, liver in copper dogs and flesh-colored in pure white dogs. The medium-sized, oval-shaped eyes are moderately spaced and come in blue, brown, amber or any combination thereof. Eyes can be half blue and half brown (parti-eyed), or dogs can have one blue eye and one brown eye (bi-eyed). The erect ears are triangular in shape, and set high up on the head. The teeth meet in a scissors bite. ","Breeds descending from the Eskimo dog or Qimmiq were once observed throughout the length and breadth of the Northern Hemisphere, in regions, such as Siberia, Canada, Alaska, Greenland, Labrador, and Baffin Island. With the help of Siberian Huskies, various tribes and clans were able not only to survive, but also succeeded in making strides towards the terra incognita. Admiral Robert Peary of the United States Navy pinned a lot of his hopes on this dog breed during his expeditions carried out in the North Pole.","They can be susceptible to hip dysplasia, ectopy (displacement of the urethra), eye issues such as juvenile cataracts, PRA (primarily in male dogs), corneal dystrophy and crystalline corneal opacities. Breeders can get hip screenings from the OFA and eye screenings yearly from a canine ophthalmologist (AVCO) and register the exam through CERF and SHOR). They can also suffer from skin issues, known as zinc responsive dermatitis, which can be treated by giving zinc supplements.","They are not usually recommended for apartments, however, they can dwell comfortably in apartments if well-trained and properly exercised. Siberian Huskies are energetic and lively indoors, and their purpose is best served by a fenced-in large yard. Because of their heavy coats, these dogs have a liking for cool climates. To shield them from the heat, be sure to provide adequate shade and air conditioning. This breed prefers to live in packs.","Siberian Huskies need a fair amount of exercise, including a daily walk or jog, but should not be excessively exercised in warm weather. They need a large yard with a high fence, but bury the wire at the base of the fence because they are likely to dig their way out and go off hunting.",The coat sheds heavily twice a year. During that time they need to be brushed and combed daily.,Frisky and Ebullient A Good-Nature Breed Independent and Free-Spirited Convenient and Inexpensive Clean and Odorless Strikingly Appealing," Unrivalled Predatory Drive, Stamina and Bounciness, Stubborn Behaviors, Strong Pack Drive. Heavy Shedding, Noise Levels, Digging Habits"
,Pembroke Welsh Corgi,pembroke.jpg,Pembrokeshire,11,14,9,13,25,30,23,29,12,15,5,6,"Originally bred to herd cattle, sheep, and horses, the Pembroke Welsh Corgi is an active and intelligent dog breed. Easy to train and eager to learn, Pembroke’s are great with children and other pets, and you can find them in four different coat colours and markings. Adaptable and loving with the whole family, Corgis can fit into just about any household, whether it’s an apartment or a large home with a yard. However, they do have quite a bit of energy for a small dog. They’ll need plenty of walks and active play sessions. You might be surprised by how quickly these short-legged pups can move! For humans who can meet the breed’s needs, the Pembroke will make an excellent family companion, even for novice pet parents.","The Pembroke Welsh corgi is a small- to medium-sized herding dog of short stature and sturdy build. Known for its low-set body, large erect ears, and stubby tail, the Pembroke also has a reputation for being a wonderful companion. Pembroke Welsh corgis are achondroplastic, a dwarf breed with shortened legs. They are the shortest breed of the herding dog group. Pembrokes have slightly smaller builds than Cardigans, their ears are pointier, and they have short stubby tails, as opposed to the long tail of the Cardigan.","Originating in Pembrokeshire, Wales, the Pembroke Welsh Corgi is an enchanting dog whose background is steeped in folklore. According to Welsh legend, the Pembroke Welsh Corgi sprang from the lairs of fairies and elves! For those who don't believe in fairy tales, there are historians who say that the Pembroke Welsh Corgi is descended from Vallhunds, Swedish cattle dogs that were brought to Wales by the Vikings in the 9th and 10th centuries. Others think they may have been descended from dogs that were brought to Wales by Flemish weavers in the 12th century....In the 1920s, the UK Kennel Club recognized Corgis as purebred dogs. They were officially known as Welsh Corgis when exhibited for the first time in 1925. At that time, Pembrokes and Cardigans were shown in the same class as one breed. Then, in 1934, the Kennel Club recognized the Pembroke and the Cardigan as two separate breeds. In that same year, the American Kennel Club followed suit. Pembrokes were first shown in the U.S. in 1936. Pembrokes have slowly gained in popularity in the U.S., and today, are among the top 50 most popular breeds for family pets. They're also popular with Her Majesty, Queen Elizabeth II of England, who received her first Pembroke Welsh Corgi from her father (King George VI) in 1933. The puppy's name was Rozavel Golden Eagle and was a playmate for Elizabeth and her sister, Margaret. Elizabeth has loved the little dogs ever since, and currently has a pack of them lounging around Buckingham Palace.","Pembrokes are generally healthy, but like all breeds, they're prone to certain health conditions. Not all Pembrokes will get any or all of these diseases, but it's important to be aware of them if you're considering this breed. If you're buying a puppy, find a good breeder who will show your health clearances for both your puppy's parents. Health clearances prove that a dog has been tested for and cleared of a particular condition. In Pembrokes, you should expect to see health clearances from the Orthopaedic Foundation for Animals (OFA) for hip dysplasia (with a score of fair or better), elbow dysplasia, hypothyroidism, and von Willebrand's disease; from Auburn University for thrombopathia; and from the Canine Eye Registry Foundation (CERF) certifying that eyes are normal. You can confirm health clearances by checking the OFA website (offa.org). With a Pembroke Welsh Corgi one should be careful about these illnesses: Hip Dysplasia, Cataracts, Cutaneous Asthenia, Cystinuria, Epilepsy, etc. Athletic and surprisingly fast, Pembrokes were bred to be herding dogs and require plenty of exercises each day. That said, they make fine apartment dogs as long as they get the physical stimulation they need. With their short legs and long backs, they should not be expected to hop up on (or down from) the couch or any other modest height — fractures are common. Corgis can adapt quite easily to living in the country or the city. Although their coats are weather-resistant and they do well in most climates, they are very people-oriented and need to be a part of the family at all times — not left alone in the backyard.","They require only quick, weekly grooming except in times of shedding. They need to be watched carefully for developing obesity. These dogs are easy to keep and do well with a minimal amount of food. Added weight can be an extra strain on the long, low back. They are quick to learn tricks and seem to have a sense of humour. They are excellent watchdogs if anything prone to unnecessary alarm barking. Perhaps because of their small stature, corgis seem to be attracted to high places and may occasionally be found on the back of the sofa or in the middle of the kitchen table. Corgis do need a firm but kind hand in training.","A strong, athletic little dog developed to herd cattle and other livestock, the Pembroke Welsh Corgi loves physical activity and is happiest when he has a job to do. Corgis benefit from moderate daily exercise to maintain their physical and mental health. Pembrokes can do well on long walks or slow jogs, but their short legs won't allow them to keep up with a bicycle rider. Avoid extreme heat or cold, and always provide plenty of cool, fresh water after exercise. Many Pembrokes enjoy and excel at canine activities such as agility, herding, obedience, and tracking events.","The Pembroke has a thick, weatherproof double coat’s soft, light undercoat covered by a coarse outer coat. The breed sheds a fair amount on a daily basis, and even more so in the late spring/early summer. A daily once-over with a comb and a slicker brush will remove a lot of the shed hair before it is all over the house. During shedding season, baths help to loosen the dead hair the dog must be completely dry before brushing begins and a rake helps strip out the undercoat. As with all breeds, the Corgi's nails should be trimmed regularly, and ears checked to be sure they are clean and healthy.","Companionship, Exceptionally Smart, Sociable, Loved by Royal families.","Need daily stimulation, Need high-quality dog food, Shedding, Can get overweight very easy."
,Lhasa Apso,lhasa.jpg,Tibet,5.4,8.2,5,5.8,25,28,22,27,12,15,4,6,"The Lhasa Apso (pronounced ""LAH-Suh-AHP-so"") is a smart and wilful small dog with a big personality. They're often described as funny, merry, and eager to please. Originating in Tibet, the Lhasa was bred to be a watchdog in palaces and Buddhist monasteries high in the Himalayas. Lhasa comes from the city in Tibet and Apso is a Tibetan word that loosely translates to ""dog."" This ancestry reveals itself in modern-day Lhasa—they're alert and loyal to their owners, though often wary of strangers.","Full-grown male Lhasa apsos are about 10–11 inches tall and weigh 12–18 pounds, while female pups are slightly smaller. Lhasa apsos have gorgeous black, tan, cream, white, and/or red-coloured coats, but they can also be blue, grey, and silver, though those are less common. Their luscious locks grow long, so you might want to tie up their flowy hairdo with a scrunchie or give them a sweet ""puppy cut"" to keep fur out of their eyes. They have black and brown button noses, long beards (if their hair is kept long), and slightly longer snouts than similar snub-nosed dogs like the Pekingese.","Lhasa apsos have a regal history that begins in 800 B.C. Tibet, when they were bred as sentinel dogs who stood watch inside palaces and Buddhist monasteries high in the Himalayan mountains, according to the ALAC. Legend has it, the brave little Lhasa apsos inspired this ancient Tibetan saying: ""If the snow-lion stays in the mountains, it is a snow-lion; if it comes down to the valleys, it becomes a dog."" Lhasas have held popular status with Buddhist monks and Dalai Lamas over the centuries—they were never sold, and thus a highly prized gift. Some Tibetian Buddhists believe that the souls of lamas (priests) are reborn as Lhasa apsos in the stage of reincarnation just before they are reborn as humans, according to the ALAC. Lhasa apsos first came to the West in the early 19th century, landing in the U.S. (specifically, New Jersey) in 1933 after being gifted to a couple by the Dalai Lama. The American Kennel Club recognized the breed just two years later, and the ALAC was founded in 1959.","The Lhasa apso is a generally healthy breed but can be prone to health problems like hip dysplasia and patellar luxation. According to the American Lhasa Apso Club (ALAC), they may also deal with eye issues like retinal atrophy, pigmentary keratitis, dry eye, and glaucoma. Other common health issues for Lhasa apsos include cherry eye (a red mass at the inner corner of the dog's eye), allergies, and a genetic skin condition called sebaceous adenitis, where the sebaceous glands become inflamed. Lhasa apsos can also be susceptible to haemorrhagic gastroenteritis (HGE), a life-threatening disease that can occur in small and medium-sized dog breeds, according to the ALAC. If you catch the warning signs (like bloody diarrhoea) early, the condition can be cured. With the right care, Lhasa apsos live long lives—about 12–15 years on average. Some have even been reported to have lived well into their 20s. If you buy a Lhasa from a breeder, it's important that they be reputable and dedicated to maintaining healthy animals. The Lhasa apso breeder should be able to show you lineage records that prove their dogs are healthy enough for breeding.","Lhasas are loyal to their tribe and do well with adults and children who respect their boundaries. Lhasas can make great family pets—even with small children—as long as the children understand (with the parents' direction) to give the dog some space. If properly socialized and trained, Lhasas can get along with other dogs and pets but know that Lhasa can like to be the boss. Lhasas will tolerate being left alone for reasonable periods of time, but think twice if you have neighbours who would be disturbed by any warning barking while you're away. They are not a 'yappy' dog, but with their keen hearing, they will alert you of unexpected events. Their small size might make them seem like ideal apartment dogs, but their bark might prove otherwise. Lhasa apsos are quick on their little legs! These pups can excel in agility, where they'll get the exercise and mental stimulation to make them happy. Lhasas need a moderate amount of exercise. A 20-minute walk once or twice a day and some playtime in the house or yard, especially during the puppy stage, will do.","The Lhasa is generally not a couch potato and is adept at self-exercise. They will race around an apartment to run off energy, entertain themselves in a fenced yard, or take their owners on a brisk walk. Mental stimulation is as important as physical exercise. They excel at agility, can do scent work, and have been known to retrieve and herd. There are talented Lhasas certified as therapy dogs working in hospitals, nursing homes, colleges, and prisons.","When it comes to grooming, the Lhasa apso is definitely high-maintenance. Though she doesn't shed much, her long and lavish coat can get quite tangled and matted if not cared for correctly—daily brushing and a bi-monthly bath is recommended. Some owners opt to keep their dog's coat short in a ""puppy cut"" style so that it's easier to maintain, but both hairdos are equally adorable and aww-worthy. Lhasas will also need basic grooming every couple of weeks beyond their hair care, including nail trims and teeth brushing. Experts recommend brushing your dog's teeth every day if possible. Just make sure to use dog toothpaste, because human toothpaste is toxic for dogs! Her ears also need to be checked and cleaned regularly. Your Lhasa should eat dog food made from high-quality ingredients. Monitoring her food and exercise is an important part of care, preventing your dog from gaining an unhealthy amount of weight. A visit to your vet can help you determine how much and how often to feed your Lhasa to keep her healthy.","Friendly and Affectionate, Requires Frequent Grooming, Protective","Stubborn, Excellent Lifespan, Fragile"
,Afghan Hound,afghan.jpg,"Afghanistan, Iran, Pakistan",22,34,20,28,68,73,65,70,12,14,1,8,"The Afghan Hound is an exemplary embodiment of elegance. Characteristics such as dramatic silky build, exotic face and thin, stylish build sum up this quaint, quirky dog breed. Afghan enthusiasts describe it as both unsociable and humorous.","Boasting an appearance marked by regality and imperiousness and devoid of any shred of roughness and , the Afghan Hound is reminiscent of an aristocrat. With a domineering head and an ultra-straight anterior side, the dog looks forward unblinkingly, giving the impression that he has vivid memories of the years gone by. ","There is ample evidence that the dog breed is a primitive one. Using the credible written or visual evidence available, it is quite a daunting task to establish a linkage between the breed of the present times and specific Afghan owners or places. Dog maniacs, non-scientific breed books and websites chronicle enough information lending credence to the fact that the Afghan Hound has emanated from the prehistoric era. The ties shared by the breed with other types and breeds from the same area can act as a vivid reflection or mirror of the history. For instance, a savory desert coursing called Tazi (sag-e- tazi) is reminiscent of a breed known as Tazi (another name for Afghan Hound) that can be related to the Caspian Sea area of Russia and Turkmenistan. Some other types or breeds of similar appearance are the Taigan from the mountainous Tian Shan region along the Chinese border of Afghanistan, and the Barakzay, or Kurram Valley Hound.",Generally healthy.,"The Afghan Hound cannot acclimatize itself to a typical apartment life. They are quite indolent indoors and they can immaculately blend themselves with acreages. Even though the Afghan Hound can live both indoors and outdoors, when it comes to sleeping, an indoor environment suits them the most. On balance, it can be surmised that they are tailor-made for external environment.","It is essential to take the Afghan Hound on a long daily walk or jog. While walking or jogging, it is advisable to make the dog heel beside or behind the person preceding him. This is because a dog has utmost respect for a human leader that shows him the way. If this breed is kept detached from walking on a daily basis, it might be afflicted with behavioral issues. The trainer should indoctrinate them in the need to enter and exit doors and gateways after the humans. They also adore running freely in an open, fenced, safe area.","The long, thick coat is aesthetic enough to capture the imagination of any person. To keep the dog in a hygienic condition, bathe it when necessary. Do not brush in between baths in order to keep the coat long and luminous. Brushing a dry coat will roughen and harm the coat, as well as make it more easily matted. Weekly baths do not matter that much if your Afghan Hound is a pet and not going to be exposed to the external environment, but doing so will make the coat less matted and save you time in the long run. Many wear snoods indoors to safeguard their ears from food bowls. Some owners prefer to use a special air- cushioned brush, called a pinbrush. This breed is an average shredder.","Finesse, smartness and glamour get a whole new meaning with Afghan hounds. They can be the real deal for owners eyeing dogs of relatively larger size as they are quite lightweight. Since this breed features a contiguous and smooth coat that does not shed, it is not cumbersome","Grooming this dog is a must. This is because the dog’s coat is really long. If the coat is not brushed regularly, it will get matted and may become disheveled. Whenever the hounds are exposed to fenced yards, leashes should be employed because their instinct compels them to chase and hunt down smaller animals like rabbits."
,Beagle,beagle.jpg,United Kingdom,10,11,9,10,33,41,31,37,12,15,2,14,"Being small, compact, and robust, Beagles are active companions for kids and adults alike.","It is a miniature Foxhound, though more robust and big for his inches, with the wear-and- tear look of the hound that can last in the chase and followhis quarry to the death..","The roots of the dogs having the same size and purpose as themodern Beagle can be traced to Ancient Greece of the 5th century BC. Xenophon, born around 430 BC, in his Treatise on Hunting or Cynegeticus, alludes to a hound that hunted hares by scent and chased them on foot. Small hounds find mention in the Forest Laws of Canute, which exempted them from the ordinance that commanded that all dogs capable of running down a stag should have one foot mutilated. However, there are divergent opinions regarding the time of existence of such laws. If they indeed existed in practice, they lend weight to the fact that such dogs were prevalent in England prior to 1016.","Some dogs of this breed can be susceptible to a multitude of diseases, including epilepsy, heart disease, eye and back problems, chondroplasia, popularly termed as dwarfism (warped front legs, like a Basset's), mast cell tumors, etc.     ","Beagles can live pleasantly in an apartment if they are not provided with ample opportunities to roam outdoors. They tend to stay vibrant indoors, and a small yard will suffice.","Being endowed with qualities of dynamism and stamina, lots of exercise, including a brisk daily walk, is a prerequisite for the Beagle. There should have a fenced yard of reasonable size for romping the breed. Always use a lead when taking this breed out for a walk or you may lose track of the swift-legged dog very quickly.","Nurturing the Beagle's smooth, shorthaired coat is no different from having a walk in the park. Brush it with a firm bristle brush, and bathe it with mild soap only when the need arises. Dry shampoo occasionally. Be sure to check the ears carefully for signs of infection and keep the nails trimmed. This breed is an average shedder."," Beagles are quite capable of fetching and returning a variety of items, like balls and plush toys. They are an intelligent breed, and when trained as pups, can be rendered disciplined and mannerly. Beagles have the potential of learning and understanding pet owners' commands, if trained at an early age or taken to attend some obedience classes. They are also known for mixing and mingling with children, other dogs and even cats, if acquainted early. They are frisky, and easy to maintain, clean and groom. Since it is a neat and tidy breed, it necessitates an occasional bathing and brushing at times.","As they have a penchant for digging and chewing on things, pet owners need to distract the dog by buying chewable toys and bones for the beagles or they could run the risk of having their own personal items chewed and buried. Absent-mindedness and inattentiveness of a beagle makes it a headache to train it. As a result, pet owners must repeat dog commands and demands quite a number of times before it becomes an obedient dog. Furthermore, beagles howl very loud, and they learn this kind of barking, a part and parcel of their hunting activities, when they are pups."
